algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ2,DTLZ,3,12,4021,0.06731691601303032,0.5327839328990702,2.574314000000003
IVFNSGAII,DTLZ2,DTLZ,3,12,4022,0.06714438877824547,0.537112656008004,2.526708999999999
IVFNSGAII,DTLZ2,DTLZ,3,12,4023,0.06523249674946369,0.5374303379197439,2.644616999999998
IVFNSGAII,DTLZ2,DTLZ,3,12,4024,0.06893764144852906,0.5374078064428516,2.8532669999999984
IVFNSGAII,DTLZ2,DTLZ,3,12,4025,0.07079875988772745,0.5321554784935385,2.4041819999999987
IVFNSGAII,DTLZ2,DTLZ,3,12,4026,0.06888070901263565,0.5365930084740782,2.710533000000003
IVFNSGAII,DTLZ2,DTLZ,3,12,4027,0.06993886999764772,0.5356353854438042,2.1948229999999977
IVFNSGAII,DTLZ2,DTLZ,3,12,4028,0.07109241158777856,0.5320460748924247,2.6255150000000014
IVFNSGAII,DTLZ2,DTLZ,3,12,4029,0.06540003990770826,0.5315193478397425,2.0230690000000005
IVFNSGAII,DTLZ2,DTLZ,3,12,4030,0.06682338936016097,0.5316778514485148,2.6170220000000026
IVFNSGAII,DTLZ3,DTLZ,2,11,4001,0.005351790401191654,0.34577347037661704,1.9667329999999976
IVFNSGAII,DTLZ3,DTLZ,2,11,4002,0.005339518326441326,0.3457871304747638,2.6432720000000014
IVFNSGAII,DTLZ3,DTLZ,2,11,4003,0.00477999816117547,0.3469033102559827,2.0290259999999987
IVFNSGAII,DTLZ3,DTLZ,2,11,4004,0.00509507414682548,0.34657100858217993,2.361041999999999
IVFNSGAII,DTLZ3,DTLZ,2,11,4005,0.0051599045693893186,0.3468362419687622,2.0544249999999997
IVFNSGAII,DTLZ3,DTLZ,2,11,4006,0.005448426132814706,0.34564335050096984,2.48626
IVFNSGAII,DTLZ3,DTLZ,2,11,4007,0.0058077148852421,0.34394746872863075,2.2474070000000004
IVFNSGAII,DTLZ3,DTLZ,2,11,4008,0.005103855096397606,0.3465289022920498,2.0711799999999982
IVFNSGAII,DTLZ3,DTLZ,2,11,4009,0.004926408251213112,0.34666888736584317,2.297939999999995
IVFNSGAII,DTLZ3,DTLZ,2,11,4010,0.005280098810012265,0.34654307259040124,2.8847150000000057
IVFNSGAII,DTLZ3,DTLZ,2,11,4011,0.00524286042871058,0.34520377843999506,2.082969999999999
